Crime_ID,Crime_Type,Time_of_Happening,Location,Day_of_Week,Severity,Reported_Time,Nearby_Landmark,Frequency_in_Last_30_Days
1,Eve Teasing,12:17,Deoli,Tuesday,Moderate,21:43,Mall,26
2,Eve Teasing,17:18,Sultan Pur Majra,Wednesday,Severe,15:32,Apartment Complex,50
3,Honor Killing,12:17,Delhi Cantonment,Friday,Minor,16:43,Temple,25
4,Eve Teasing,00:51,Sultan Pur Majra,Monday,Moderate,14:31,Police Station,28
5,Eve Teasing,04:39,Mandoli,Monday,Severe,01:24,Police Station,42
6,Domestic Violence,10:23,Burari,Saturday,Moderate,18:15,Mall,25
7,Domestic Violence,10:48,Delhi Cantonment,Saturday,Severe,23:28,School,46
8,Eve Teasing,00:23,Hastsal,Friday,Moderate,03:42,Temple,45
9,Human Trafficking,07:09,Kirari Suleman Nagar,Sunday,Minor,05:46,Temple,11
10,Stalking,17:32,Hastsal,Saturday,Moderate,13:27,Mall,1
11,Dowry Death,05:06,Karawal Nagar,Wednesday,Minor,19:38,Mall,19
12,Acid Attack,19:40,Mandoli,Monday,Severe,15:30,Police Station,14
13,Acid Attack,22:25,Sultan Pur Majra,Sunday,Minor,14:54,Mall,24
14,Domestic Violence,17:23,Hastsal,Monday,Moderate,01:19,Mall,0
15,Acid Attack,19:15,Dallo Pura,Sunday,Severe,22:05,Hospital,43
16,Honor Killing,04:38,Mustafabad,Sunday,Moderate,02:53,Park,21
17,Human Trafficking,10:30,Deoli,Sunday,Severe,08:23,Mall,32
18,Eve Teasing,23:50,Deoli,Friday,Minor,16:35,Hospital,29
19,Stalking,00:47,Kirari Suleman Nagar,Wednesday,Severe,16:37,Police Station,16
20,Domestic Violence,10:26,Deoli,Wednesday,Severe,21:17,School,28
21,Dowry Death,18:02,Burari,Tuesday,Moderate,05:28,Hospital,45
22,Honor Killing,02:19,Nangloi Jat,Thursday,Minor,08:21,School,15
23,Dowry Death,16:56,Karawal Nagar,Friday,Severe,03:21,Hospital,6
